UID,name_h,name_e,Index,Rank
2530,באר יעקב,BE'ER YA'AQOV,0.762,192
518,מעיליא,MI'ELYA,0.762,193
,מעלה יוסף,MA'ALE YOSEF,0.772,194
168,כפר יונה,KEFAR YONA,0.776,195
8300,ראשון לציון,RISHON LEZIYYON,0.803,196
,מבואות החרמון,MEVO'OT HAHERMON,0.813,197
240,יקנעם עילית,YOQNE'AM ILLIT,0.840,198
,בני שמעון,BENE SHIM'ON,0.845,199
,באר טוביה,BE'ER TUVEYA,0.858,200
,חבל מודיעין,HEVEL MODI'IN,0.866,201
,הערבה התיכונה,HAARAVA HATIKHONA,0.885,202
3652,בית אריה,BET ARYE,0.886,203
,שער הנגב,SHA'AR HANEGEV,0.927,204
3560,אלקנה,ELQANA,0.964,205
43,מטולה,METULA,0.977,206
,חוף הכרמל,HOF HAKARMEL,1.000,207
,אלונה,ALLONA,1.010,208
9400,יהוד,YEHUD,1.011,209
8600,רמת גן,RAMAT GAN,1.045,210
29,יסוד המעלה,YESUD HAMA'ALA,1.049,211
1015,מבשרת ציון,MEVASSERET ZIYYON,1.058,212
,יואב,YO'AV,1.063,213
,גזר,GEZER,1.073,214
5000,תל אביב -יפו,TEL AVIV - YAFO,1.113,215
681,גבעת שמואל,GIV'AT SHEMU'EL,1.129,216
,עמק חפר,EMEQ HEFER,1.145,217
,לב השרון,LEV HASHARON,1.161,218
6900,כפר סבא,KEFAR SAVA,1.172,219
9300,זכרון יעקב,ZIKHRON YA'AQOV,1.176,220
,עמק יזרעאל,EMEQ YIZRE'EL,1.187,221
3750,אלפי מנשה,ALFE MENASHE,1.192,222
8700,רעננה,RA'ANNANA,1.215,223
6400,הרצלייה,HERZLIYYA,1.221,224
195,קדימה-צורן,QADIMA-ZORAN,1.232,225
28,מזכרת בתיה,MAZKERET BATYA,1.263,226
,ברנר,BRENNER,1.285,227
2300,קריית טבעון,QIRYAT TIV'ON,1.295,228
,חוף השרון,HOF HASHARON,1.302,229
3760,אורנית,ORANIT,1.312,230
7200,נס ציונה,NES ZIYYONA,1.317,231
9800,בנימינה-גבעת עדה,BINYAMINA-GIV'AT ADA,1.322,232
,גן רווה,GAN RAWE,1.324,233
47,כפר תבור,KEFAR TAVOR,1.364,234
122,רמת ישי,RAMAT YISHAY,1.365,235
154,תל מונד,TEL MOND,1.367,236
,דרום השרון,DEROM HASHARON,1.384,237
1200,מודיעין-מכבים-רעות,MODI'IN-MAKKABBIM-RE'UT,1.391,238
229,גני תקווה,GANNE TIQWA,1.411,239
171,פרדסייה,PARDESIYYA,1.419,240
6300,גבעתיים,GIV'ATAYIM,1.453,241
9700,הוד השרון,HOD HASHARON,1.491,242
182,אבן יהודה,EVEN YEHUDA,1.499,243
2620,קריית אונו,QIRYAT ONO,1.540,244
1263,כפר ורדים,KEFAR WERADIM,1.545,245
1268,מיתר,METAR,1.576,246
2650,רמת השרון,RAMAT HASHARON,1.606,247
1304,שוהם,SHOHAM,1.671,248
,גדרות,GEDEROT,1.705,249
3769,הר אדר,HAR ADAR,1.758,250
1224,כוכב יאיר,KOKHAV YA'IR,1.809,251
666,עומר,OMER,1.900,252
1271,להבים,LEHAVIM,1.989,253
267,כפר שמריהו,KEFAR SHEMARYAHU,2.068,254
587,סביון,SAVYON,2.320,255
